rna29947	Xetrov90000001m.g
rna52948	nos3
rna44771	atg9b
rna44773	atg9b
rna44772	atg9b
rna36698	abcb8
rna31082	Xetrov90015378m.g
rna41178	LOC108647859
rna3159	cdk5
rna3160	cdk5
rna34623	LOC100486305
rna53886	LOC100486443
rna28818	Xetrov90015381m.g
rna46193	aoc1
rna46194	aoc1
rna32255	Xetrov90015384m.g
rna29464	Xetrov90015384m.g
rna30616	Xetrov90015385m.g
rna31792	Xetrov90015386m.g
rna46476	LOC101733186
rna29086	Xetrov90015387m.g
rna40091	LOC100493303
rna30267	Xetrov90015388m.g
rna34419	Xetrov90015389m.g
rna27677	Xetrov90015390m.g
rna30159	Xetrov90015391m.g
rna51710	LOC108647836
rna51711	LOC108647836
rna51712	LOC108647836
rna34858	Xetrov90015392m.g
rna60434	LOC108647837
rna60435	LOC108647837
rna60436	LOC108647837
rna60437	LOC108647837
rna32102	Xetrov90015393m.g
rna61662	LOC108644510
rna61663	LOC108644510
rna61664	LOC108644510
rna61665	LOC108644510
rna61666	LOC108644510
rna61667	LOC108644510
rna61668	LOC108644510
rna61669	LOC108644510
rna32762	Xetrov90015394m.g
rna41164	znf184
rna49112	LOC108647838
rna33383	Xetrov90015395m.g
rna57263	LOC100492975
rna4697	LOC100492197
rna4700	LOC100492197
rna4698	LOC100492197
rna4699	LOC100492197
rna4695	LOC100492197
rna4696	LOC100492197
rna53799	LOC101732411
rna53800	LOC101732411
rna53801	LOC101732411
rna53802	LOC101732411
rna53803	LOC101732411
rna53804	LOC101732411
rna63298	LOC100493787
rna63299	LOC100493787
rna63300	LOC100493787
rna41852	LOC100493966
rna41853	LOC100493966
rna28776	Xetrov90015401m.g
rna42889	LOC100492632
rna34925	Xetrov90015402m.g
rna48895	LOC100492813
rna51319	LOC100493100
rna59604	LOC101732059
rna28623	Xetrov90015406m.g
rna26904	LOC101731994
rna26903	LOC101731994
rna24372	LOC101731927
rna26376	zfp90
rna26375	zfp90
rna25114	LOC100496808
rna25115	LOC100496808
rna36704	LOC105945406
rna44590	LOC100486008
rna44591	LOC100486008
rna31247	Xetrov90015412m.g
rna52931	LOC100498647
rna40515	LOC100497764
rna30314	Xetrov90015414m.g
rna30600	Xetrov90015416m.g
rna42263	LOC100497915
rna28022	Xetrov90015417m.g
rna50622	LOC105945410
rna50620	LOC105945410
rna50621	LOC105945410
rna50623	LOC105945410
rna50624	LOC105945410
rna59193	LOC100487805
rna38015	LOC100216020
rna38016	LOC100216020
rna17751	LOC105945412
rna17752	LOC105945412
rna17749	LOC105945412
rna17750	LOC105945412
rna17753	LOC105945412
rna36001	LOC101731345
rna36002	LOC101731345
rna36003	LOC101731345
rna36004	LOC101731345
rna44580	LOC100498072
rna49974	LOC100485854
rna38855	LOC100497127
rna27625	Xetrov90015424m.g
rna46578	hist1h2ad
rna38153	LOC100485294
rna59168	LOC100496496
rna53858	LOC100498492
rna45765	jrk
rna45766	jrk
rna41170	LOC101730917
rna41171	LOC101730917
rna62370	LOC101730779
rna62371	LOC101730779
rna62372	LOC101730779
rna62373	LOC101730779
rna62374	LOC101730779
rna62375	LOC101730779
rna62376	LOC101730779
rna62377	LOC101730779
rna62378	LOC101730779
rna57200	LOC105945411
rna49149	LOC101730425
rna49150	LOC101730425
rna49151	LOC101730425
rna59058	LOC100496968
rna59059	LOC100496968
rna59060	LOC100496968
rna31371	LOC100497607-like
rna33875	Xetrov90015430m.g
rna56450	LOC100497289
rna31343	Xetrov90015432m.g
rna36483	LOC100485134
rna33366	Xetrov90015433m.g
rna57700	LOC101734900
rna60772	LOC100487319
rna60773	LOC100487319
rna31636	Xetrov90015435m.g
rna44828	LOC100487167
rna51127	LOC101734458
rna42766	hkr1
rna42767	hkr1
rna7299	LOC108647925
rna7300	LOC108647925
rna59216	LOC108647920
rna54444	LOC108647921
rna54443	LOC108647921
rna54445	LOC108647921
rna54446	LOC108647921
rna61718	LOC101733242
rna61719	LOC101733242
rna61720	LOC101733242
rna61721	LOC101733242
rna61722	LOC101733242
rna35647	LOC100498329
rna32236	Xetrov90015440m.g
rna29357	Xetrov90015441m.g
rna56991	LOC101732837
rna56992	LOC101732837
rna56993	LOC101732837
rna56994	LOC101732837
rna56995	LOC101732837
rna50971	LOC108647924
rna58539	LOC101732725
rna58540	LOC101732725
rna58541	LOC101732725
rna58542	LOC101732725
rna31922	Xetrov90015442m.g
rna41652	LOC108647923
rna41653	LOC108647923
rna42417	LOC108647919
rna30517	Xetrov90015442m.g
rna30845	Xetrov90015442m.g
rna63705	LOC100494255
rna63238	LOC101733764
rna44401	LOC105947711
rna53322	LOC105947706
rna53323	LOC105947706
rna53324	LOC105947706
rna53325	LOC105947706
rna53326	LOC105947706
rna53327	LOC105947706
rna53328	LOC105947706
rna53329	LOC105947706
rna53330	LOC105947706
rna53331	LOC105947706
rna53332	LOC105947706
rna28969	Xetrov90015445m.g
rna2440	LOC101734053
rna2441	LOC101734053
rna35168	LOC100492514
rna22213	LOC100492687
rna22214	LOC100492687
rna22212	LOC100492687
rna22211	LOC100492687
rna28882	Xetrov90015449m.g
rna52788	dbn1
rna13131	LOC100492858
rna13130	LOC100492858
rna38805	LOC100485051
rna38806	LOC100485051
rna38804	LOC100485051
rna37521	LOC100493189
rna60391	LOC100489238
rna60390	LOC100489238
rna60389	LOC100489238
rna60392	LOC100489238
rna54130	LOC100493516
rna54131	LOC100493516
rna54132	LOC100493516
rna54133	LOC100493516
rna54134	LOC100493516
rna54135	LOC100493516
rna46851	LOC105947712
rna63647	LOC100493685
rna63648	LOC100493685
rna63649	LOC100493685
rna53579	LOC100493847
rna50977	LOC105947707
rna43560	LOC108647860
rna45659	LOC101735149
rna47610	LOC101733711
rna47609	LOC101733711
rna47611	LOC101733711
rna45412	LOC105947549
rna49728	LOC105945178
rna58519	LOC100486155
rna48156	LOC100486202
rna59007	LOC100485704
rna59005	LOC100485704
rna59006	LOC100485704
rna59008	LOC100485704
rna59009	LOC100485704
rna3721	LOC100485553
rna3720	LOC100485553
rna14733	LOC100485404
rna14734	LOC100485404
rna50642	LOC101733376
rna32990	Xetrov90015453m.g
rna63066	LOC100498598
rna63067	LOC100498598
rna39237	LOC101733211
rna39535	LOC108647861
rna51868	LOC100498438
rna45804	LOC105945965
rna35714	LOC101734722
rna64369	LOC108647839
rna53428	LOC100216256
rna30509	Xetrov90015457m.g
rna29967	Xetrov90015458m.g
rna59500	wnt9a
rna34032	Xetrov90015460m.g
rna57554	wnt3a
rna47757	LOC108647840
rna47758	LOC108647840
rna47759	LOC108647840
rna22944	arf5
rna22945	arf5
rna7754	c1orf35
rna7753	c1orf35
rna7755	c1orf35
rna7756	c1orf35
rna7757	c1orf35
rna7758	c1orf35
rna1910	mrpl55
rna1911	mrpl55
rna1909	mrpl55
rna44211	guk1
rna44212	guk1
rna29885	Xetrov90015467m.g
rna43458	LOC105947716
rna43459	LOC105947716
rna34848	Xetrov90015471m.g
rna35236	obscn
rna35244	obscn
rna35242	obscn
rna35241	obscn
rna35238	obscn
rna35237	obscn
rna35245	obscn
rna35239	obscn
rna35240	obscn
rna35246	obscn
rna35243	obscn
rna56759	LOC100488959
rna56761	LOC100488959
rna56760	LOC100488959
rna56762	LOC100488959
rna48252	iba57
rna64188	gjc2
rna12107	LOC101730627
rna45818	LOC100488015
rna35688	cyp8b1
rna24258	higd1a
rna24259	higd1a
rna16019	ccdc13
rna16020	ccdc13
rna16018	ccdc13
rna16017	ccdc13
rna28654	Xetrov90015481m.g
rna11681	hhatl
rna11682	hhatl
rna23079	klhl40
rna23078	klhl40
rna23080	klhl40
rna3169	zbtb47
rna3170	zbtb47
rna3168	zbtb47
rna7957	nktr
rna7958	nktr
rna7956	nktr
rna50596	sec22c
rna50597	sec22c
rna50598	sec22c
rna24672	LOC100485453
rna41587	LOC105947547
rna47829	snap47
rna53969	jmjd4
rna60856	als2cl
rna60857	als2cl
rna60858	als2cl
rna60859	als2cl
rna38545	tmie
rna45058	pth1r
rna29921	Xetrov90015494m.g
rna24234	myl3
rna24233	myl3
rna33010	Xetrov90015496m.g
rna29517	Xetrov90015497m.g
rna34196	Xetrov90015498m.g
rna8085	pbrm1-like.1
rna8084	pbrm1-like.1
rna27957	LOC101732654-like
rna14797	ngfr
rna14798	ngfr
rna30889	Xetrov90015502m.g
rna59856	setd2
rna59855	setd2
rna59857	setd2
rna59858	setd2
rna59859	setd2
rna16665	tubz1
rna16666	tubz1
rna16667	tubz1
rna16668	tubz1
rna16669	tubz1
rna16670	tubz1
rna11500	LOC101731222
rna11499	LOC101731222
rna43200	camp
rna48545	LOC105947511
rna18379	klhl18
rna18381	klhl18
rna18382	klhl18
rna18380	klhl18
rna18378	klhl18
rna34778	LOC101730997
rna30142	Xetrov90015510m.g
rna38411	kif9
rna38412	kif9
rna31373	Xetrov90015512m.g
rna28870	Xetrov90015513m.g
rna27617	Xetrov90015514m.g
rna31564	Xetrov90015515m.g
rna46593	LOC108647841
rna46594	LOC108647841
rna51886	LOC105947599
rna51887	LOC105947599
rna59313	LOC105947600
rna37557	LOC105947704
rna34275	Xetrov90015516m.g
rna33259	Xetrov90015517m.g
rna28621	Xetrov90015517m.g
rna28521	LOC100491848
rna34634	Xetrov90015516m.g
rna45902	LOC101732461
rna30105	Xetrov90015519m.g
rna32685	Xetrov90015520m.g
rna56959	LOC101732500
rna31652	Xetrov90015521m.g
rna34319	Xetrov90015522m.g
rna61581	LOC101732593
rna40438	LOC101732654
rna49016	LOC105946178
rna45380	anapc15
rna45381	anapc15
rna45382	anapc15
rna50125	LOC108647842
rna54889	ccm2
rna8063	naca
rna8064	naca
rna8062	naca
rna39843	tbrg4
rna34729	Xetrov90015528m.g
rna63921	cnbd2
rna1629	LOC105947510
rna1628	LOC105947510
rna940	ccdc12
rna939	ccdc12
rna5020	nbeal2
rna5019	nbeal2
rna5021	nbeal2
rna26126	cdc25a
rna26128	cdc25a
rna26127	cdc25a
rna26129	cdc25a
rna35221	map4
rna33466	Xetrov90015537m.g
rna33467	Xetrov90015537m.g
rna58294	dhx30
rna63945	xirp1
rna63946	xirp1
rna63947	xirp1
rna42881	LOC105947509
rna62493	LOC100493748
rna33947	Xetrov90015543m.g
rna63101	LOC101733516
rna63102	LOC101733516
rna32458	Xetrov90015546m.g
rna42029	LOC100485312
rna30370	Xetrov90015547m.g
rna47182	LOC100485478
rna54854	LOC105947507
rna44526	LOC100497727
rna52725	LOC108647843
rna57070	LOC100497570
rna20477	csrnp1
rna20478	csrnp1
rna36632	ttc21a
rna10195	gorasp1
rna10196	gorasp1
rna56191	wdr48
rna47943	scn5a
rna47941	scn5a
rna47942	scn5a
rna47944	scn5a
rna36530	exog
rna34512	Xetrov90015557m.g
rna57938	acvr2b
rna28607	Xetrov90015559m.g
rna29609	Xetrov90015561m.g
rna34888	Xetrov90015562m.g
rna57362	xylb
rna57363	xylb
rna57364	xylb
rna51935	LOC101730707
rna7907	c6h9orf152
rna7908	c6h9orf152
rna7906	c6h9orf152
rna18734	nub1
rna18735	nub1
rna46816	wdr86
rna46749	LOC101734377
rna20123	crygn
rna20122	crygn
rna26399	rheb
rna26400	rheb
rna50899	LOC108647844
rna21350	prkag1
rna21351	prkag1
rna21352	prkag1
rna21353	prkag1
rna21349	prkag1
rna21354	prkag1
rna57621	LOC101730607
rna57622	LOC101730607
rna57623	LOC101730607
rna57624	LOC101730607
rna57625	LOC101730607
rna29550	Xetrov90015571m.g
rna31927	Xetrov90015572m.g
rna32752	Xetrov90015573m.g
rna29942	Xetrov90015574m.g
rna20601	galnt11
rna20602	galnt11
rna47807	kmt2c
rna47813	kmt2c
rna47808	kmt2c
rna47809	kmt2c
rna47810	kmt2c
rna47811	kmt2c
rna47812	kmt2c
rna47816	kmt2c
rna47815	kmt2c
rna47814	kmt2c
rna39655	LOC101735221
rna14616	xrcc2
rna14615	xrcc2
rna63464	dpp6
rna63465	dpp6
rna31535	Xetrov90015582m.g
rna55319	paxip1
rna54543	LOC105947597
rna46309	htr5a
rna6112	insig1
rna6111	insig1
rna6113	insig1
rna159	en2
rna158	en2
rna13538	cnpy1
rna13539	cnpy1
rna13537	cnpy1
rna36021	rbm33
rna36022	rbm33
rna36023	rbm33
rna36025	rbm33
rna36024	rbm33
rna36026	rbm33
rna18534	shh
rna18533	shh
rna33638	Xetrov90015590m.g
rna63760	rnf32
rna63761	rnf32
rna63762	rnf32
rna55867	lmbr1
rna55868	lmbr1
rna8716	nom1
rna8717	nom1
rna8715	nom1
rna54522	LOC105947596
rna28927	LOC100495908
rna44243	mnx1
rna53458	ube3c
rna53459	ube3c
rna53460	ube3c
rna53461	ube3c
rna45171	LOC105947595
rna38525	dnajb6
rna38526	dnajb6
rna38527	dnajb6
rna23582	ptprn2
rna23583	ptprn2
rna23584	ptprn2
rna23581	ptprn2
rna52459	mir153-2
rna52460	mir153-2
rna4496	ncapg2
rna4497	ncapg2
rna52415	LOC108647845
rna42326	dip2c
rna42327	dip2c
rna42328	dip2c
rna42329	dip2c
rna42330	dip2c
rna11815	zmynd11
rna11816	zmynd11
rna63051	vipr2
rna56613	LOC101734054
rna46732	wdr60
rna40126	esyt2
rna28386	Xetrov90015614m.g
rna46825	LOC108647846
rna46827	LOC108647846
rna46826	LOC108647846
rna45742	LOC108647847
rna33014	Xetrov90015615m.g
rna11688	pfkp
rna11696	pfkp
rna11692	pfkp
rna11690	pfkp
rna11697	pfkp
rna11695	pfkp
rna11691	pfkp
rna11694	pfkp
rna11693	pfkp
rna11689	pfkp
rna11698	pfkp
rna23164	pitrm1
rna23163	pitrm1
rna31368	Xetrov90015618m.g
rna12951	klf6
rna12952	klf6
rna53675	LOC108647877
rna33499	Xetrov90015620m.g
rna45869	LOC101732941
rna27215	fzd8
rna27216	fzd8
rna16396	gjd4
rna16397	gjd4
rna25756	ccny
rna25757	ccny
rna18855	crem
rna18856	crem
rna18857	crem
rna18858	crem
rna18859	crem
rna18854	crem
rna59434	cul2
rna59435	cul2
rna59436	cul2
rna52824	LOC105947699
rna52825	LOC105947699
rna46355	pard3
rna46358	pard3
rna46356	pard3
rna46357	pard3
rna46359	pard3
rna46360	pard3
rna46363	pard3
rna46362	pard3
rna46361	pard3
rna46364	pard3
rna34429	Xetrov90015631m.g
rna29742	Xetrov90015631m.g
rna28136	Xetrov90015632m.g
rna39776	nrp1
rna27666	Xetrov90015634m.g
rna14263	itgb1
rna14264	itgb1
rna14265	itgb1
rna14262	itgb1
rna14266	itgb1
rna52911	epc1
rna56163	LOC108647848
rna32326	epc1
rna2500	kif5b
rna2501	kif5b
rna39595	arhgap12
rna39594	arhgap12
rna39596	arhgap12
rna39593	arhgap12
rna39597	arhgap12
rna2195	zeb1
rna2196	zeb1
rna2197	zeb1
rna2194	zeb1
rna2198	zeb1
rna29998	Xetrov90015642m.g
rna40860	znf438
rna62236	svil
rna62237	svil
rna62238	svil
rna62239	svil
rna62240	svil
rna62241	svil
rna33182	LOC101733826
rna57176	kiaa1462
rna57177	kiaa1462
rna48748	mtpap
rna37093	map3k8
rna58100	bambi
rna31193	Xetrov90015650m.g
rna54740	LOC105947592
rna9211	wac
rna9209	wac
rna9210	wac
rna9212	wac
rna9213	wac
rna62228	mpp7
rna30727	Xetrov90015654m.g
rna53882	LOC108647849
rna15082	armc4
rna15083	armc4
rna15081	armc4
rna15084	armc4
rna15085	armc4
rna15086	armc4
rna40129	mkx
rna40945	LOC105947696
rna26477	rab18
rna26478	rab18
rna50587	ptchd3
rna1727	yme1l1
rna1726	yme1l1
rna39526	LOC101730563
rna46828	LOC101730511
rna3530	mastl
rna3529	mastl
rna3531	mastl
rna453	acbd5
rna454	acbd5
rna456	acbd5
rna455	acbd5
rna457	acbd5
rna458	acbd5
rna17471	abi1
rna17472	abi1
rna17473	abi1
rna17474	abi1
rna17475	abi1
rna17476	abi1
rna17477	abi1
rna17478	abi1
rna17479	abi1
rna17466	abi1
rna17470	abi1
rna17469	abi1
rna17467	abi1
rna17468	abi1
rna17480	abi1
rna20449	pdss1
rna20450	pdss1
rna20448	pdss1
rna19850	LOC100495255
rna19849	LOC100495255
rna19851	LOC100495255
rna40224	apbb1ip
rna51225	LOC100495411
rna42616	LOC108647878
rna49260	gad2
rna40371	myo3a
rna56854	gpr158
rna33811	Xetrov90015677m.g
rna48694	thnsl1
rna35179	enkur
rna28948	Xetrov90015679m.g
rna12657	prtfdc1
rna12656	prtfdc1
rna12658	prtfdc1
rna12659	prtfdc1
rna53997	arhgap21
rna53998	arhgap21
rna38023	kiaa1217
rna38024	kiaa1217
rna38025	kiaa1217
rna38026	kiaa1217
rna38027	kiaa1217
rna38028	kiaa1217
rna38029	kiaa1217
rna38030	kiaa1217
rna38031	kiaa1217
rna38032	kiaa1217
rna38033	kiaa1217
rna38035	kiaa1217
rna38034	kiaa1217
rna38036	kiaa1217
rna38037	kiaa1217
rna32828	Xetrov90015686m.g
rna41018	otud1
rna47665	c10orf67
rna47666	c10orf67
rna47667	c10orf67
rna47668	c10orf67
rna47669	c10orf67
rna12317	ptf1a
rna12318	ptf1a
rna34390	Xetrov90015690m.g
rna35018	LOC100494322
rna35019	LOC100494322
rna4308	msrb2
rna4307	msrb2
rna34897	Xetrov90015693m.g
rna51490	armc3
rna51491	armc3
rna47797	pip4k2b
rna47796	pip4k2b
rna47795	pip4k2b
rna47798	pip4k2b
rna56295	spag6
rna24102	bmi1
rna24103	bmi1
rna24104	bmi1
rna24105	bmi1
rna39928	commd3
rna52887	dnajc1
rna57857	mllt10
rna57858	mllt10
rna57859	mllt10
rna57862	mllt10
rna57861	mllt10
rna57860	mllt10
rna57863	mllt10
rna57864	mllt10
rna57865	mllt10
rna57866	mllt10
rna57867	mllt10
rna57868	mllt10
rna57869	mllt10
rna57870	mllt10
rna57871	mllt10
rna36762	skida1
rna41620	LOC108647850
rna46291	nebl
rna46292	nebl
rna46293	nebl
rna46296	nebl
rna46295	nebl
rna46294	nebl
rna46297	nebl
rna40961	plxdc2
rna63969	malrd1
rna33502	Xetrov90015709m.g
rna34527	Xetrov90015710m.g
rna49660	LOC108647851
rna29318	Xetrov90015711m.g
rna39290	arl5b
rna39291	arl5b
rna39292	arl5b
rna61659	nsun6
rna61660	nsun6
rna61661	nsun6
rna44527	cacnb2
rna44528	cacnb2
rna44529	cacnb2
rna44530	cacnb2
rna44532	cacnb2
rna44531	cacnb2
rna44534	cacnb2
rna44533	cacnb2
rna10107	slc39a12
rna10108	slc39a12
rna10109	slc39a12
rna10106	slc39a12
rna36198	mrc1
rna15367	stam
rna15368	stam
rna15369	stam
rna15370	stam
rna55707	hacd1
rna42676	st8sia6
rna13122	vim
rna13121	vim
rna59467	trdmt1
rna59468	trdmt1
rna59469	trdmt1
rna59470	trdmt1
rna55163	cubn
rna27618	Xetrov90015723m.g
rna23336	rsu1
rna23335	rsu1
rna23334	rsu1
rna23337	rsu1
rna23338	rsu1
rna23339	rsu1
rna23340	rsu1
rna46070	c1ql3
rna491	pter
rna492	pter
rna493	pter
rna494	pter
rna495	pter
rna490	pter
rna29342	Xetrov90015728m.g
rna62840	steap1
rna52590	steap2
rna18698	cfap69
rna18697	cfap69
rna7185	gtpbp10
rna7184	gtpbp10
rna52047	adam22
rna31461	Xetrov90015733m.g
rna23995	cldn12
rna23994	cldn12
rna23996	cldn12
rna23997	cldn12
rna23998	cldn12
rna23993	cldn12
rna28935	Xetrov90015736m.g
rna27289	dbf4
rna27290	dbf4
rna15344	slc25a40
rna15340	slc25a40
rna15341	slc25a40
rna15343	slc25a40
rna15342	slc25a40
rna15345	slc25a40
rna15346	slc25a40
rna56899	rundc3b
rna1565	abcb1
rna1564	abcb1
rna1566	abcb1
rna47411	crot
rna37099	acbd7
rna13218	olah
rna13217	olah
rna13219	olah
rna13220	olah
rna25289	nmt1
rna25290	nmt1
rna25291	nmt1
rna25288	nmt1
rna51189	fam171a1
rna48202	itga8
rna5129	fam188a
rna5130	fam188a
rna5128	fam188a
rna5131	fam188a
rna53494	LOC100488559
rna53495	LOC100488559
rna53496	LOC100488559
rna46896	znf804b
rna46897	znf804b
rna5478	steap4
rna5479	steap4
rna5477	steap4
rna21301	LOC100145516
rna21300	LOC100145516
rna21299	LOC100145516
rna21298	LOC100145516
rna21302	LOC100145516
rna51096	LOC105947604
rna20719	sri
rna20720	sri
rna19853	dus3l
rna19854	dus3l
rna19852	dus3l
rna50549	pttg1ip.2
rna58581	cdk14
rna58582	cdk14
rna58583	cdk14
rna58584	cdk14
rna58585	cdk14
rna59285	fzd1
rna38268	LOC101733125
rna53779	mterf1
rna61768	akap9
rna61771	akap9
rna61766	akap9
rna61770	akap9
rna61769	akap9
rna61767	akap9
rna16482	cyp51a1
rna16483	cyp51a1
rna41274	lrrd1
rna18042	krit1
rna18043	krit1
rna18041	krit1
rna40322	ankib1
rna40324	ankib1
rna40323	ankib1
rna58721	LOC108647852
rna49803	rbm48
rna45573	pex1
rna45574	pex1
rna37448	grina
rna37449	grina
rna6618	rpp38
rna6619	rpp38
rna6620	rpp38
rna10332	gatad1
rna10333	gatad1
rna10334	gatad1
rna29971	Xetrov90015781m.g
rna48765	fam133b
rna48766	fam133b
rna48767	fam133b
rna48768	fam133b
rna40447	cdk6
rna40448	cdk6
rna50518	samd9l
rna60976	hepacam2
rna60977	hepacam2
rna60978	hepacam2
rna39536	vps50
rna39537	vps50
rna52168	LOC100490933
rna38613	LOC100497408
rna42629	calcr
rna51227	mir489
rna51228	mir489
rna63044	LOC101732810
rna16129	tfpi2
rna16131	tfpi2
rna20492	gngt1
rna20490	gngt1
rna20491	gngt1
rna20493	gngt1
rna52227	MGC147631
rna3955	bet1
rna3956	bet1
rna21308	LOC101730635
rna21307	LOC101730635
rna38365	add3
rna29345	Xetrov90015799m.g
rna63421	LOC108647862
rna29944	Xetrov90015801m.g
rna34629	Xetrov90015801m.g
rna51467	pou6f2
rna48006	npsr1
rna20962	bmper
rna20963	bmper
rna20961	bmper
rna20960	bmper
rna20964	bmper
rna28426	Xetrov90015807m.g
rna60630	bbs9
rna60631	bbs9
rna60632	bbs9
rna60633	bbs9
rna4987	nt5c3a
rna4988	nt5c3a
rna4991	nt5c3a
rna4993	nt5c3a
rna4992	nt5c3a
rna4989	nt5c3a
rna4990	nt5c3a
rna30087	Xetrov90015814m.g
rna51359	LOC101732867
rna51360	LOC101732867
rna1092	rp9
rna1090	rp9
rna1091	rp9
rna1093	rp9
rna1094	rp9
rna1095	rp9
rna1096	rp9
rna6069	velo1
rna6070	velo1
rna6071	velo1
rna20056	kbtbd2
rna20055	kbtbd2
rna6946	avl9
rna6947	avl9
rna22810	lsm5
rna22809	lsm5
rna40287	pde1c
rna40288	pde1c
rna40289	pde1c
rna40290	pde1c
rna62599	LOC105947668
rna8993	ppp1r17
rna8994	ppp1r17
rna18914	ccdc129
rna18915	ccdc129
rna18913	ccdc129
rna17316	neurod6
rna17317	neurod6
rna53285	itga9
rna43368	golga4
rna43370	golga4
rna43369	golga4
rna43371	golga4
rna28683	Xetrov90015830m.g
rna36562	LOC101732623
rna11744	LOC100496967
rna11743	LOC100496967
rna53143	sall3
rna53145	sall3
rna53144	sall3
rna53146	sall3
rna53147	sall3
rna28302	Xetrov90015833m.g
rna40157	atp9b
rna62667	nfatc1
rna62666	nfatc1
rna62668	nfatc1
rna62669	nfatc1
rna62670	nfatc1
rna62671	nfatc1
rna34794	Xetrov90015838m.g
rna55723	LOC108647853
rna49366	ctdp1
rna49367	ctdp1
rna37131	kcng2
rna41267	pqlc1.1
rna41269	pqlc1.1
rna41265	pqlc1.1
rna41268	pqlc1.1
rna41266	pqlc1.1
rna41270	pqlc1.1
rna41271	pqlc1.1
rna35853	hsbp1l1
rna14154	txnl4a
rna14155	txnl4a
rna13947	LOC100498522
rna13948	LOC100498522
rna13946	LOC100498522
rna10736	rbfa
rna10735	rbfa
rna127	adnp2
rna128	adnp2
rna125	adnp2
rna126	adnp2
rna14178	c6orf62
rna14179	c6orf62
rna24690	gmnn
rna24691	gmnn
rna24692	gmnn
rna15514	fam65b
rna15515	fam65b
rna15513	fam65b
rna19794	cmahp
rna19795	cmahp
rna19793	cmahp
rna34113	Xetrov90015852m.g
rna57516	lrrc16a
rna57517	lrrc16a
rna57518	lrrc16a
rna57519	lrrc16a
rna57520	lrrc16a
rna30116	Xetrov90015853m.g
rna21077	scgn
rna21078	scgn
rna11644	pard6g
rna11645	pard6g
rna3073	bloc1s4
rna3074	bloc1s4
rna12021	acot13
rna12020	acot13
rna24183	tdp2
rna24182	tdp2
rna24186	tdp2
rna24184	tdp2
rna24185	tdp2
rna24187	tdp2
rna51217	LOC108647854
rna54419	kiaa0319
rna24501	e2f3
rna24502	e2f3
rna31235	Xetrov90015868m.g
rna44960	LOC108647855
rna47098	LOC100495543
rna44037	cdkal1
rna44038	cdkal1
rna44039	cdkal1
rna44040	cdkal1
rna50148	LOC105947640
rna19217	sox4
rna19218	sox4
rna55367	LOC101732499
rna55368	LOC101732499
rna55370	LOC101732499
rna55369	LOC101732499
rna31007	Xetrov90015872m.g
rna27388	prl.1
rna27387	prl.1
rna5881	nrsn1
rna5882	nrsn1
rna45821	dcdc2
rna45823	dcdc2
rna45822	dcdc2
rna45824	dcdc2
rna52090	mrs2
rna28018	Xetrov90015877m.g
rna31883	LOC100493339
rna22336	aldh5a1
rna22337	aldh5a1
rna22335	aldh5a1
rna22164	LOC100492839
rna22163	LOC100492839
rna34586	Xetrov90015881m.g
rna34587	Xetrov90015881m.g
rna7250	scrn1
rna7249	scrn1
rna12579	wipf3
rna12580	wipf3
rna12578	wipf3
rna25404	prr15
rna25405	prr15
rna37030	chn2
rna37031	chn2
rna43441	cpvl
rna43442	cpvl
rna49725	tril
rna63504	LOC108647887
rna41165	creb5
rna41166	creb5
rna41167	creb5
rna33860	Xetrov90015891m.g
rna49648	jazf1
rna50588	LOC108647856
rna50589	LOC108647856
rna28610	Xetrov90015893m.g
rna13085	tax1bp1
rna13084	tax1bp1
rna36112	LOC105947588
rna45147	hibadh
rna38623	LOC105947684
rna61820	evx1
rna61821	evx1
rna55886	LOC101733729
rna15873	hoxa13
rna15872	hoxa13
rna3325	hoxa11
rna3324	hoxa11
rna50782	hoxa11
rna50645	mir196b
rna50646	mir196b
rna32965	hoxa9
rna7984	hoxa7
rna7985	hoxa7
rna24848	hoxa3
rna24849	hoxa3
rna24850	hoxa3
rna24851	hoxa3
rna24846	hoxa3
rna24854	hoxa3
rna24852	hoxa3
rna24853	hoxa3
rna24856	hoxa3
rna24855	hoxa3
rna24847	hoxa3
rna24857	hoxa3
rna24858	hoxa3
rna57717	hoxa6
rna27083	hoxa5
rna27084	hoxa5
rna6040	hoxa4
rna6039	hoxa4
rna27756	Xetrov90015908m.g
rna52979	LOC105947685
rna10577	hoxa2
rna10579	hoxa2
rna10578	hoxa2
rna48154	LOC101734399
rna22243	hoxa1
rna22244	hoxa1
rna34758	Xetrov90015913m.g
rna53051	skap2
rna25625	snx10
rna25624	snx10
rna25626	snx10
rna25627	snx10
rna25628	snx10
rna25629	snx10
rna39844	cbx3
rna39845	cbx3
rna39848	cbx3
rna39847	cbx3
rna39846	cbx3
rna39849	cbx3
rna39850	cbx3
rna25131	hnrnpa2b1
rna25132	hnrnpa2b1
rna25134	hnrnpa2b1
rna25133	hnrnpa2b1
rna25129	hnrnpa2b1
rna25130	hnrnpa2b1
rna14037	nfe2l3
rna14038	nfe2l3
rna14036	nfe2l3
rna46243	mir148a
rna46244	mir148a
rna29804	Xetrov90015924m.g
rna54528	npvf
rna63661	LOC101731982
rna42229	LOC101732050
rna50550	c6h7orf31
rna50551	c6h7orf31
rna23485	cycs
rna23486	cycs
rna23487	cycs
rna42175	osbpl3
rna42176	osbpl3
rna42177	osbpl3
rna37754	dfna5
