GM.5.0.Sox.0001	SRY,SOX9,SOX13,SOX15
GM.5.0.C2H2_ZF.0079	ZBTB3
GM.5.0.C2H2_ZF.0080	ZNF528
GM.5.0.C2H2_ZF.0081	KLF12
GM.5.0.Forkhead.0027	FOXP3
GM.5.0.Nuclear_receptor.0043	AR
GM.5.0.bZIP.0031	DDIT3,CEBPA
GM.5.0.Homeodomain.0075	HOXD4,MSX2
GM.5.0.Sox.0020	SOX17
GM.5.0.Forkhead.0028	FOXN1
GM.5.0.Forkhead.0029	FOXP3
GM.5.0.Homeodomain.0076	HOXA13
GM.5.0.IRF.0006	IRF1,IRF2,IRF9
GM.5.0.C2H2_ZF.0083	PRDM16
GM.5.0.Mixed.0031	PAX4
GM.5.0.Homeodomain.0077	NKX2-5,NKX2-1
GM.5.0.EIN3.0001	BRCA1
GM.5.0.Homeodomain.0078	CRX,PITX1
GM.5.0.C2H2_ZF.0084	SP2
GM.5.0.Sox.0021	SOX14,SOX5,SOX17
GM.5.0.Forkhead.0030	FOXB1
GM.5.0.C2H2_ZF.0085	PRDM1
GM.5.0.CSD.0001	YBX1
GM.5.0.C2H2_ZF_Homeodomain.0003	ZEB1
GM.5.0.C2H2_ZF.0086	ZFP128
GM.5.0.C2H2_ZF.0087	ZIC3
GM.5.0.Nuclear_receptor.0044	NR4A2
GM.5.0.C2H2_ZF.0088	ZNF667
GM.5.0.Nuclear_receptor.0045	RARG,NR2C1,RARB,RORA,NR2F1,RARA,NR2F2
GM.5.0.Unknown.0015	NR0B1
GM.5.0.C2H2_ZF.0089	ZNF423
GM.5.0.Mixed.0032	POU1F1
GM.5.0.C2H2_ZF.0090	ZNF354A
GM.5.0.Mixed.0033	ZFHX3
GM.5.0.Homeodomain.0080	ALX1
GM.5.0.STAT.0007	STAT1,STAT3
GM.5.0.C2H2_ZF.0091	KLF15
GM.5.0.Mixed.0034	PAX3
GM.5.0.Nuclear_receptor.0046	PPARA
GM.5.0.C2H2_ZF.0092	HIC1
GM.5.0.Mixed.0036	POU2F1,POU
GM.5.0.C2H2_ZF.0093	ZSCAN4
GM.5.0.Homeodomain.0081	CDX1
GM.5.0.CUT_Homeodomain.0003	CUX2,ONECUT1,HNF6
GM.5.0.Ets.0018	ETV4,ETV6
GM.5.0.bZIP.0033	DBP
GM.5.0.C2H2_ZF.0095	ZKSCAN3
GM.5.0.Myb_SANT.0008	MYB
GM.5.0.Homeodomain.0083	PBX1
GM.5.0.Homeodomain.0084	TGIF1
GM.5.0.C2H2_ZF.0096	ZNF394
GM.5.0.TEA.0003	TEAD1
GM.5.0.Grainyhead.0004	GRHL1,TFCP2,GRHL2
GM.5.0.C2H2_ZF.0097	ZSCAN4,ZSCAN4C
GM.5.0.bHLH.0052	TCFL5,MYC,MAX
GM.5.0.Homeodomain.0085	SIX1,SIX2
GM.5.0.C2H2_ZF.0098	ZNF554
GM.5.0.Mixed.0038	NRF1
GM.5.0.AP-2.0005	TFAP2B
GM.5.0.bZIP.0034	CREB1
GM.5.0.Nuclear_receptor.0047	ESRRB,ESRRA,ESRRG
GM.5.0.Homeodomain.0086	BARX1,MSX1,MSX2,MSX3
GM.5.0.C2H2_ZF.0099	SP4
GM.5.0.Homeodomain.0087	ALX3,ALX4,ARX,ALX1,DRGX,ISX,PHOX2A,PHOX2B,PROP1,PRRX1,UNCX,PAX7
GM.5.0.bHLH.0053	USF1,MAX,MNT,USF2,USF
GM.5.0.Ets.0019	SPDEF
GM.5.0.Nuclear_receptor.0048	AR,NR3C1,NR3C2
GM.5.0.E2F.0008	E2F7,E2F8
GM.5.0.Homeodomain.0089	PBX1
GM.5.0.Runt.0004	RUNX1,RUNX2
GM.5.0.C2H2_ZF.0100	ZFP82
GM.5.0.C2H2_ZF.0101	ZBTB12
GM.5.0.Sox.0023	LEF1
GM.5.0.bHLH.0055	HES1
GM.5.0.Runt.0005	RUNX2
GM.5.0.Nuclear_receptor.0049	ESRRA,ESRRB,ESRRG,ESR1
GM.5.0.Mixed.0041	PAX3,PAX7
GM.5.0.STAT.0009	STAT3,STAT5A,STAT5B
GM.5.0.Homeodomain.0090	HOXD9
GM.5.0.Homeodomain.0091	MEIS2,MEIS3,PKNOX1,PKNOX2,TGIF1,TGIF2,TGIF2LX
GM.5.0.Nuclear_receptor.0050	VDR
GM.5.0.bZIP.0035	BACH2
GM.5.0.C2H2_ZF.0102	ZNF219
GM.5.0.Mixed.0042	SPZ1,ZNF589
GM.5.0.Homeodomain.0092	DUX4,DUXA
GM.5.0.Sox.0024	SOX10,SOX8,SOX9
GM.5.0.Mixed.0043	HINFP
GM.5.0.MADS_box.0009	SRF
GM.5.0.C2H2_ZF.0105	ZBTB7A
GM.5.0.Rel.0007	NFATC1
GM.5.0.Homeodomain.0093	RHOXF1
GM.5.0.bHLH.0056	NHLH2
GM.5.0.C2H2_ZF.0106	OSR2,OSR1
GM.5.0.CBF_NF-Y.0003	NFYA,NFY
GM.5.0.C2H2_ZF.0107	ZNF524
GM.5.0.Homeodomain.0094	EVX1,EVX2
GM.5.0.Homeodomain.0095	PITX2
GM.5.0.bHLH.0057	ARNT,USF1
GM.5.0.Homeodomain.0096	PBX2
GM.5.0.Ets.0020	ETS1,ELK3
GM.5.0.Homeodomain.0097	OTX1,OTX2
GM.5.0.SMAD.0007	SMAD3
GM.5.0.Homeodomain.0098	HOXA4
GM.5.0.Runt.0006	RUNX2,RUNX3
GM.5.0.C2H2_ZF.0108	ZIC1,ZIC3,ZIC4
GM.5.0.Sox.0025	SOX10,SOX15
GM.5.0.Nuclear_receptor.0052	RORA,NR1D1,RORC
GM.5.0.C2H2_ZF.0110	MECOM,RUNX1
GM.5.0.Homeodomain.0099	ISL1
GM.5.0.C2H2_ZF.0111	ZIC2
GM.5.0.T-box.0011	TBX20
GM.5.0.Homeodomain.0100	HMBOX1
GM.5.0.AP-2.0006	TFAP2A,TFAP2B,TFAP2C,TCFAP2A
GM.5.0.Homeodomain_POU.0011	POU3F2
GM.5.0.Unknown.0021	SPZ1
GM.5.0.Homeodomain.0101	DLX3,MEOX2
GM.5.0.C2H2_ZF.0112	FEZF1
GM.5.0.Mixed.0045	ZNF350
GM.5.0.bZIP.0037	MAFF,MAFK,MAFG
GM.5.0.T-box.0012	TBX2
GM.5.0.Rel.0009	REL
GM.5.0.Homeodomain.0102	NKX6-2
GM.5.0.bZIP.0038	DBP
GM.5.0.T-box.0013	TBX3
GM.5.0.Mixed.0046	BCL11A,IRF4
GM.5.0.bHLH.0058	MYC,MAX
GM.5.0.Rel.0010	NFAT5
GM.5.0.STAT.0010	STAT4
GM.5.0.Unknown.0022	NR1H
GM.5.0.Homeodomain.0103	NKX6-1
GM.5.0.Nuclear_receptor.0053	RARA,RARG,RARB
GM.5.0.Grainyhead.0005	UBP1
GM.5.0.C2H2_ZF.0114	ZNF264
GM.5.0.bZIP.0039	DBP,CEBPB,CEBPD,CEBPE,CEBPG,HLF,NFIL3,TEF
GM.5.0.CUT_Homeodomain.0004	CUX1
GM.5.0.Nuclear_receptor.0054	NR4A1
GM.5.0.Homeodomain.0104	NKX3-1
GM.5.0.Sox.0026	SOX10,SOX4,SOX8,SOX9,SOX11
GM.5.0.Sox.0027	SOX10,SOX8,SOX9
GM.5.0.Unknown.0023	ZBTB14
GM.5.0.Homeodomain.0105	HOXD10
GM.5.0.T-box.0014	MGA,TBX2,TBX4,TBX5
GM.5.0.Homeodomain.0106	LHX2
GM.5.0.Ets.0021	ELF1
GM.5.0.Homeodomain.0107	VSX1,VSX2
GM.5.0.bZIP.0040	ATF2
GM.5.0.bHLH.0059	SREBF2
GM.5.0.Paired_box.0004	PAX6
GM.5.0.C2H2_ZF.0115	ZNF263,ZFP263
GM.5.0.bZIP.0041	CREB3L1,CREB3L2
GM.5.0.C2H2_ZF.0116	YY1
GM.5.0.Homeodomain.0108	HESX1
GM.5.0.SMAD.0008	SMAD3
GM.5.0.Paired_box.0006	PAX5
GM.5.0.Homeodomain.0109	HOXA1,HOXB1
GM.5.0.bZIP.0042	CEBPB,CEBPG
GM.5.0.Unknown.0024	CPEB1
GM.5.0.Rel.0011	REL
GM.5.0.HSF.0004	HSF1,HSF2,HSF4
GM.5.0.C2H2_ZF.0117	SP4,ZBTB17
GM.5.0.C2H2_ZF.0118	ZNF274
GM.5.0.Unknown.0025	BPTF
GM.5.0.C2H2_ZF.0119	RREB1
GM.5.0.Forkhead.0032	ZNF384
GM.5.0.E2F.0010	E2F2,E2F3
GM.5.0.C2H2_ZF.0120	MZF1
GM.5.0.IRF.0007	IRF1,IRF2
GM.5.0.Homeodomain_Paired_box.0004	PAX2
GM.5.0.C2H2_ZF.0121	RREB1
GM.5.0.DM.0005	DMRT1,DMRTB1
GM.5.0.C2H2_ZF.0122	MECOM,RUNX1
GM.5.0.bHLH.0060	MYOD1,TCF3
GM.5.0.C2H2_ZF.0123	ZNF549
GM.5.0.CUT_Homeodomain.0005	CUX1,CUX2,ONECUT1,ONECUT2,ONECUT3
GM.5.0.E2F.0011	E2F1
GM.5.0.Nuclear_receptor.0055	ESR1,ESRRA
GM.5.0.Ets.0022	EWSR1,FLI1,EWSR1-FLI1
GM.5.0.C2H2_ZF.0124	ZNF232
GM.5.0.bHLH.0062	NHLH1
GM.5.0.C2H2_ZF.0125	KLF6
GM.5.0.MADS_box.0010	AP1
GM.5.0.bHLH.0063	NEUROD1,TCF3
GM.5.0.T-box.0015	MGA,TBX21
GM.5.0.Homeodomain.0112	SIX5
GM.5.0.C2H2_ZF.0126	ZFX
GM.5.0.bZIP.0043	HLF
GM.5.0.C2H2_ZF.0127	GLI3,GLI,GLI1
GM.5.0.E2F.0012	E2F1
GM.5.0.Grainyhead.0006	GRHL2
GM.5.0.Nuclear_receptor.0056	HNF4A
GM.5.0.bZIP.0044	DBP
GM.5.0.bZIP.0045	ATF1,ATF7,ATF2
GM.5.0.Nuclear_receptor.0057	ESRRB,NR5A2,ESRRA,NR5A1
GM.5.0.C2H2_ZF.0128	MECOM,RUNX1
GM.5.0.bZIP.0046	CEBPA,CEBP
GM.5.0.SMAD.0009	SMAD1
GM.5.0.C2H2_ZF.0129	ZFP410
GM.5.0.bHLH.0064	SREBP1A,SREBP2
GM.5.0.E2F.0013	E2F1
GM.5.0.bZIP.0047	MAFA
GM.5.0.Ets.0023	SPDEF
GM.5.0.C2H2_ZF.0130	GLIS2
GM.5.0.bZIP.0048	CREM
GM.5.0.Sox.0028	SOX2
GM.5.0.Nuclear_receptor.0058	NR3C1
GM.5.0.Paired_box.0007	PAX8
GM.5.0.SAND.0003	GMEB2
GM.5.0.Nuclear_receptor.0059	RARA,RARG,RORA,RARB
GM.5.0.bZIP.0049	CREB3L2
GM.5.0.bZIP.0050	FOSB,JUNB,JUN,BATF
GM.5.0.Homeodomain.0114	NOBOX
GM.5.0.Ets.0024	ELK4
GM.5.0.Nuclear_receptor.0060	ESR2,RORA
GM.5.0.Homeodomain.0115	TGIF2,TGIF1
GM.5.0.Ets.0025	ERG,ELK4,ETS1,ETV2,FLI1,ELF1
GM.5.0.C2H2_ZF.0131	ZBTB16
GM.5.0.Homeodomain.0116	DBX1,TLX2
GM.5.0.Sox.0029	TCF7
GM.5.0.Rel.0012	NFATC3,NFATC2,NFATC1
GM.5.0.Nuclear_receptor.0061	RXRA,RXRG
GM.5.0.C2H2_ZF.0132	GZF1
GM.5.0.GATA.0011	GATA3
GM.5.0.Unknown.0029	USF
GM.5.0.bHLH.0065	TWIST1
GM.5.0.Homeodomain.0117	LBX1
GM.5.0.Nuclear_receptor.0062	NR2F6,NR2F2,NR2F1
GM.5.0.Unknown.0030	NRF1
GM.5.0.SAND.0004	SP110
GM.5.0.Homeodomain.0119	HOXD13,CDX2
GM.5.0.Rel.0013	NFAT5
GM.5.0.Homeodomain.0120	DPRX
GM.5.0.Ets.0026	ELF1,ETV1,GABPA,ETS1,ELF2,ELK1,ELK4,EHF,ELF3,ELF4,ETV6,ZBTB7A
GM.5.0.Homeodomain.0121	LHX2,LBX2
GM.5.0.IRF.0008	IRF3
GM.5.0.C2H2_ZF.0133	ZFP281,ZNF281
GM.5.0.Ets.0027	ELF5,ETS1
GM.5.0.Rel.0014	NFKB1,NFKB2
GM.5.0.Homeodomain_POU.0012	POU2F1,POU1F1,POU3F1,POU3F2,POU3F3,BRN1
GM.5.0.MADS_box.0011	AP1
GM.5.0.Nuclear_receptor.0064	NR1H4
GM.5.0.IRF.0009	IRF4,IRF7,IRF8,IRF9
GM.5.0.Rel.0015	RELA
GM.5.0.SMAD.0010	SMAD2
GM.5.0.Homeodomain.0122	LHX6,LHX8
GM.5.0.Nuclear_receptor.0065	NR4A2
GM.5.0.C2H2_ZF.0134	ZNF85
GM.5.0.Nuclear_receptor.0066	HNF4G
GM.5.0.Nuclear_receptor.0067	AR
GM.5.0.Nuclear_receptor.0068	HNF4A
GM.5.0.C2H2_ZF.0135	REST
GM.5.0.bZIP.0051	CREB3,CREB3L1,XBP1,CREB3L2
GM.5.0.CxxC.0001	CXXC1
GM.5.0.Rel.0016	RELB
GM.5.0.bHLH.0067	MSC
GM.5.0.Nuclear_receptor.0070	ESRRG
GM.5.0.C2H2_ZF.0137	BCL6B
GM.5.0.Nuclear_receptor.0071	NR2E1
GM.5.0.C2H2_ZF.0138	PLAG1
GM.5.0.p53.0004	TP63,TRP73,TP73
GM.5.0.bZIP.0052	CEBPA,CEBPB,CEBPD
GM.5.0.Unknown.0031	NRF1
GM.5.0.Forkhead.0033	FOXB1
GM.5.0.bHLH.0068	BHLHE40,USF2,MITF
GM.5.0.C2H2_ZF.0139	ZNF238,ZBTB18
GM.5.0.Homeodomain.0123	VENTX,LHX2,MEOX1,MEOX2
GM.5.0.bZIP.0053	MAFK,MAF
GM.5.0.C2H2_ZF.0141	ZNF263
GM.5.0.Homeodomain.0125	NANOG
GM.5.0.bHLH.0070	ARNTL
GM.5.0.Homeodomain.0126	NKX6-1
GM.5.0.Myb_SANT.0009	CDC5L
GM.5.0.C2H2_ZF.0142	PLAG1
GM.5.0.GATA.0012	GATA,GATA1,GATA3,GATA5,GATA2,GATA4,GATA6
GM.5.0.Homeodomain.0127	HOXC6,HOXC9
GM.5.0.bHLH.0072	MYF
GM.5.0.Homeodomain.0128	HOXA9,HOXC10,HOXC11,HOXC12,HOXD12,HOXA11,HOXA10
GM.5.0.bHLH.0073	NHLH1
GM.5.0.C2H2_ZF.0143	ZNF563
GM.5.0.bHLH.0074	EPAS1
GM.5.0.E2F.0014	E2F5,E2F1,E2F4
GM.5.0.bZIP.0054	MAFB,CIC,MAF,MAFA
GM.5.0.Nuclear_receptor.0072	RARA,RXRA
GM.5.0.bHLH.0075	HAND1,TCF3
GM.5.0.Mixed.0053	MAX
GM.5.0.GATA.0013	GATA2
GM.5.0.Homeodomain.0130	NKX3-2
GM.5.0.IRF.0010	IRF5
GM.5.0.Mixed.0054	POU2F1
GM.5.0.IRF.0011	IRF3
GM.5.0.Homeodomain.0131	HOXB4,LHX2,PDX1
GM.5.0.C2H2_ZF.0144	KLF3
GM.5.0.Homeodomain.0132	HOXA5
GM.5.0.Nuclear_receptor.0073	RXRA,VDR
GM.5.0.Nuclear_receptor.0074	ESR2
GM.5.0.Nuclear_receptor.0075	THRB
GM.5.0.C2H2_ZF.0145	VEZF1
GM.5.0.Mixed.0056	ZNF350
GM.5.0.Mixed.0057	POU2F1
GM.5.0.IRF.0012	IRF7
GM.5.0.Forkhead.0034	FOXD3
GM.5.0.Sox.0030	SOX21,SOX7,SRY
GM.5.0.AP-2.0007	TFAP2A
GM.5.0.C2H2_ZF.0146	ZNF274
GM.5.0.Nuclear_receptor.0076	ERRA,RXRA,NR2F2
GM.5.0.C2H2_ZF.0147	PRDM4
GM.5.0.Mixed.0058	MZF1
GM.5.0.p53.0005	TP53
GM.5.0.C2H2_ZF.0148	WT1
GM.5.0.Homeodomain.0133	HOXA10,HOXA9
GM.5.0.Paired_box.0009	PAX1,PAX2,PAX5,PAX9
GM.5.0.bZIP.0055	ATF6
GM.5.0.C2H2_ZF.0149	YY1
GM.5.0.bZIP.0056	ATF1,CREB1,ATF3
GM.5.0.AP-2.0008	TFAP2A,TFAP2C
GM.5.0.T-box.0016	EOMES
GM.5.0.Homeodomain_POU.0013	POU6F1,POU6F2
GM.5.0.C2H2_ZF.0150	ZIM3
GM.5.0.T-box.0017	TBX21
GM.5.0.bZIP.0057	MAF
GM.5.0.Unknown.0037	CEBP
GM.5.0.AT_hook.0002	HMGA2
GM.5.0.Nuclear_receptor.0078	ESR1,NR4A3
GM.5.0.GATA.0015	GATA3
GM.5.0.Myb_SANT.0010	MYB
GM.5.0.C2H2_ZF.0151	HIVEP2
GM.5.0.Nuclear_receptor.0080	NR1H4
GM.5.0.C2H2_ZF.0152	ZNF320
GM.5.0.Homeodomain.0135	HOXC8
GM.5.0.bZIP.0058	NFE2L2
GM.5.0.bZIP.0059	NFE2L1,MAFG
GM.5.0.C2H2_ZF.0153	PRDM1
GM.5.0.ARID_BRIGHT.0002	ARID5A
GM.5.0.Rel.0018	RELA
GM.5.0.bZIP.0061	CEBPD
GM.5.0.Nuclear_receptor.0083	PPARG
GM.5.0.C2H2_ZF.0154	ZBTB4
GM.5.0.Unknown.0042	ZNF431
GM.5.0.C2H2_ZF.0155	ZBTB7B
GM.5.0.C2H2_ZF.0156	BCL6B
GM.5.0.IRF.0013	IRF8
GM.5.0.Homeodomain.0136	AC226150.2
GM.5.0.Unknown.0044	TFAP2
GM.5.0.C2H2_ZF.0158	ZNF423
GM.5.0.GCM.0004	GCM1
GM.5.0.CUT_Homeodomain.0006	CUX1
GM.5.0.STAT.0012	STAT5A,STAT5B
GM.5.0.bZIP.0063	JUN
GM.5.0.IRF.0014	IRF3
GM.5.0.MADS_box.0012	MEF2A,MYEF2
GM.5.0.Unknown.0047	CDX
GM.5.0.MADS_box.0013	MEF2A,MYEF2
GM.5.0.Unknown.0048	PURA
GM.5.0.bZIP.0064	ATF3
GM.5.0.C2H2_ZF.0159	ZFP57
GM.5.0.T-box.0018	TBX1
GM.5.0.C2H2_ZF.0160	ZNF136
GM.5.0.C2H2_ZF.0161	ZNF134
GM.5.0.Grainyhead.0007	TFCP2
GM.5.0.bZIP.0065	CEBPG
GM.5.0.C2H2_ZF.0162	YY1
GM.5.0.bHLH.0078	PTF1A
GM.5.0.Homeodomain.0137	PDX1
GM.5.0.Forkhead.0035	FOXM1
GM.5.0.TEA.0004	TEAD4
GM.5.0.Forkhead.0036	FOXF2
GM.5.0.AP-2.0009	TFAP2D
GM.5.0.RFX.0008	RFX5
GM.5.0.Mixed.0062	POU2F1
GM.5.0.Unknown.0053	HERPUD1
GM.5.0.C2H2_ZF.0165	MTF1
GM.5.0.C2H2_ZF.0166	SP2
GM.5.0.C2H2_ZF.0167	PRDM5
GM.5.0.C2H2_ZF.0168	OVOL1
GM.5.0.bHLH.0080	ARNT2
GM.5.0.C2H2_ZF.0170	ZBTB49
GM.5.0.bHLH.0081	BHLHE41
GM.5.0.Forkhead.0037	FOXO1,FOXO3,FOXO4,FOXO6
GM.5.0.Homeodomain.0139	PBX1
GM.5.0.Sox.0031	SRY
GM.5.0.bHLH.0083	HEY2
GM.5.0.bZIP.0066	ATF3,FOSL2
GM.5.0.Ets.0029	ELK1
GM.5.0.C2H2_ZF.0172	ZFP652
GM.5.0.C2H2_ZF.0173	ZNF335
GM.5.0.GATA.0017	GATA5
GM.5.0.Rel.0019	NFATC1
GM.5.0.MADS_box.0014	MEF2A,MYEF2
GM.5.0.C2H2_ZF.0174	SP1,SP4
GM.5.0.C2H2_ZF.0175	BCL6
GM.5.0.AT_hook.0003	HMGA1
GM.5.0.Homeodomain.0141	TGIF1
GM.5.0.bZIP.0067	ATF1
GM.5.0.Homeodomain.0142	NKX2-1
GM.5.0.Zinc_cluster.0001	SEF1
GM.5.0.T-box.0020	T
GM.5.0.THAP_finger.0004	THAP1
GM.5.0.C2H2_ZF.0176	ZSCAN22
GM.5.0.Unknown.0062	GTF2A
GM.5.0.Nuclear_receptor.0085	NR2E3
GM.5.0.Ets.0031	ETS1
GM.5.0.p53.0006	TP73
GM.5.0.Nuclear_receptor.0086	NR3C2
GM.5.0.bZIP.0068	CREB1
GM.5.0.C2H2_ZF.0178	PRDM1
GM.5.0.Mixed.0064	POU2F1
GM.5.0.Paired_box.0011	PAX5
GM.5.0.Rel.0020	NFATC1
GM.5.0.Mixed.0065	PAX4
GM.5.0.C2H2_ZF.0179	HIC1
GM.5.0.Unknown.0068	ZBTB14
GM.5.0.GTF2I-like.0001	GTF2I
GM.5.0.Mixed.0066	POU,POU2F1
GM.5.0.Mixed.0067	PAX6
GM.5.0.C2H2_ZF.0180	OVOL2
GM.5.0.E2F.0016	E2F3,E2F2
GM.5.0.C2H2_ZF.0181	SP3
GM.5.0.SMAD.0011	NFIA,NFIC
GM.5.0.Nuclear_receptor.0087	THRB
GM.5.0.C2H2_ZF.0182	EGR3
GM.5.0.bHLH.0085	TFAP4
GM.5.0.Myb_SANT.0011	TERF2
GM.5.0.Unknown.0070	COMP1
GM.5.0.IRF.0015	IRF7
GM.5.0.bZIP.0069	CEBP,CEBPA
GM.5.0.Ets.0032	ERG,FLI1
GM.5.0.Mixed.0069	MZF1
GM.5.0.TBP.0002	TBP
GM.5.0.TBP.0003	TBP
GM.5.0.Homeodomain.0144	HOXD8
GM.5.0.C2H2_ZF.0186	ZBTB1
GM.5.0.Nuclear_receptor.0088	PPARA
GM.5.0.Homeodomain.0145	MEIS1,HOXA9
GM.5.0.E2F.0017	E2F1
GM.5.0.Forkhead.0040	FOXM1
GM.5.0.p53.0007	TP73
GM.5.0.Homeodomain.0146	PRRX1
GM.5.0.C2H2_ZF.0187	PATZ1
GM.5.0.Unknown.0079	RAR
GM.5.0.bHLH.0086	OLIG3
GM.5.0.SMAD.0014	NFIC
GM.5.0.Nuclear_receptor.0090	NR2E3
GM.5.0.Myb_SANT.0012	MYBL2
GM.5.0.C2H2_ZF.0188	ZNF8
GM.5.0.Homeodomain.0147	CDX2
GM.5.0.SMAD.0015	SMAD4
GM.5.0.Homeodomain.0148	NANOG
GM.5.0.MADS_box.0016	SRF
GM.5.0.Nuclear_receptor.0091	THRB
GM.5.0.Myb_SANT.0013	SMARCA1
GM.5.0.Unknown.0081	HF1H3B
GM.5.0.bZIP.0071	XBP1
GM.5.0.Nuclear_receptor.0093	PPARA
GM.5.0.Paired_box.0013	PAX5
GM.5.0.CUT_Homeodomain.0007	CUX1
GM.5.0.C2H2_ZF.0189	ZNF582
GM.5.0.C2H2_ZF.0190	EGR1,EGR2
GM.5.0.CUT_Homeodomain.0008	CUX1
GM.5.0.Homeodomain.0150	SIX5
GM.5.0.C2H2_ZF.0192	ZNF41
GM.5.0.Homeodomain.0151	LBX2
GM.5.0.C2H2_ZF.0193	ZNF24
GM.5.0.Homeodomain.0152	EMX1,EMX2
GM.5.0.SAND.0006	AIRE
GM.5.0.Nuclear_receptor.0095	NR4A2
GM.5.0.Nuclear_receptor.0096	HNF4A
GM.5.0.Nuclear_receptor.0097	NR6A1
GM.5.0.Nuclear_receptor.0098	ESRRA,ESRRG
GM.5.0.C2H2_ZF.0194	INSM1
GM.5.0.SAND.0007	AIRE
GM.5.0.Nuclear_receptor.0099	HNF4A
GM.5.0.bZIP.0073	CREBZF
GM.5.0.Unknown.0088	USF
GM.5.0.bZIP.0074	MAFB
GM.5.0.C2H2_ZF.0197	ZBTB4
GM.5.0.Homeodomain.0155	MEOX2
GM.5.0.bHLH.0088	AHR
GM.5.0.E2F.0019	E2F1
GM.5.0.Forkhead.0041	FOXJ2
GM.5.0.Ets.0033	ELF3
GM.5.0.Homeodomain.0158	ARX
GM.5.0.C2H2_ZF.0200	MECOM,RUNX1
GM.5.0.Mixed.0076	PAX2
GM.5.0.Unknown.0097	NR1H
GM.5.0.TEA.0005	TEAD2
GM.5.0.bHLH.0089	ATOH1,TCF12
GM.5.0.Unknown.0098	NKX3.1
GM.5.0.SMAD.0016	SMAD2
GM.5.0.Forkhead.0042	FOXH1
GM.5.0.Mixed.0077	HINFP
GM.5.0.CUT_Homeodomain.0009	CUX1
GM.5.0.bHLH.0090	TCF3
GM.5.0.MBD.0002	MECP2
GM.5.0.bHLH.0091	CLOCK
GM.5.0.C2H2_ZF.0201	ZNF816
GM.5.0.C2H2_ZF.0203	KLF4
GM.5.0.Homeodomain_POU.0014	POU2F1
GM.5.0.SMAD.0017	SMAD3
GM.5.0.Unknown.0099	SMAD
GM.5.0.C2H2_ZF.0204	SP1
GM.5.0.Homeodomain_POU.0015	POU3F2
GM.5.0.Nuclear_receptor.0105	ESR1,RORB
GM.5.0.Forkhead.0043	FOXC1
GM.5.0.Nuclear_receptor.0106	NR2F2
GM.5.0.GATA.0019	GATA4
GM.5.0.Unknown.0100	AFP
GM.5.0.Myb_SANT.0014	MYB
GM.5.0.bHLH.0092	MYF6
GM.5.0.C2H2_ZF.0205	ZFP3
GM.5.0.Nuclear_receptor.0107	PGR
GM.5.0.C2H2_ZF.0207	ZNF219
GM.5.0.bZIP.0077	ATF4
GM.5.0.C2H2_ZF.0208	ZNF18
GM.5.0.Paired_box.0015	PAX5
GM.5.0.bHLH.0093	EBF1
GM.5.0.DM.0006	DMRTA2
GM.5.0.Homeodomain.0160	PDX1
GM.5.0.Unknown.0106	CBX5
GM.5.0.Paired_box.0016	PAX5
GM.5.0.Nuclear_receptor.0110	RARG
GM.5.0.MADS_box.0017	AP3
GM.5.0.bHLH.0095	HES2
GM.5.0.Forkhead.0044	FOXC1,FOXC2,FOXD2,FOXD3
GM.5.0.CUT_Homeodomain.0010	ONECUT2
GM.5.0.Sox.0032	SOX10,SOX8,SOX9
GM.5.0.C2H2_ZF.0210	IKZF1,IKZF2
GM.5.0.ARID_BRIGHT.0003	ARID5B
GM.5.0.Nuclear_receptor.0111	THRA,THRB
GM.5.0.Nuclear_receptor.0112	THRA
GM.5.0.Mixed.0080	PAX2
GM.5.0.GATA.0022	GATA3
GM.5.0.Homeodomain_POU.0016	POU3F2
GM.5.0.Nuclear_receptor.0113	ESR2
GM.5.0.Rel.0021	NFATC1
GM.5.0.IRF.0016	IRF5
GM.5.0.bHLH.0098	TWIST1
GM.5.0.Ets.0038	ETV5
GM.5.0.Forkhead.0045	FOXJ2,FOXJ3
GM.5.0.Homeodomain.0162	HOXA7
GM.5.0.Rel.0022	NFATC1
GM.5.0.Homeodomain.0163	HOXC6
GM.5.0.Homeodomain.0165	PROP1
GM.5.0.Forkhead.0046	FOXJ3
GM.5.0.Prospero.0001	PROX1
GM.5.0.C2H2_ZF.0213	KLF8
GM.5.0.bHLH.0100	MLXIPL
GM.5.0.p53.0008	TP53
GM.5.0.Forkhead.0047	FOXB1
GM.5.0.Ets.0039	ELF1
GM.5.0.Ets.0040	ETV6
GM.5.0.bZIP.0081	TEF
GM.5.0.HSF.0007	HSFY2
GM.5.0.SMAD.0019	SMAD3
GM.5.0.C2H2_ZF.0214	ZFP691
GM.5.0.C2H2_ZF.0215	WT1
GM.5.0.bZIP.0082	JUN
GM.5.0.Unknown.0122	PBX
GM.5.0.C2H2_ZF.0216	ZNF329
GM.5.0.Homeodomain.0166	PKNOX1
GM.5.0.Forkhead.0048	FOXP3
GM.5.0.bZIP.0083	CEBP,CEBPA
GM.5.0.Mixed.0083	PAX2
GM.5.0.C2H2_ZF.0217	GLI3,GLI1,GLI2
GM.5.0.Homeodomain.0167	NANOG
GM.5.0.Unknown.0124	HLTF
GM.5.0.Unknown.0125	STAT
GM.5.0.Mixed.0084	MBD1
GM.5.0.Mixed.0085	POU6F1
GM.5.0.Forkhead.0049	FOXD3
GM.5.0.Nuclear_receptor.0114	NR2F2
