gene10841	Xetrov90000001m.g
gene19855	chd1
gene11344	Xetrov90003494m.g
gene13925	Xetrov90003494m.g
gene5371	ccnb1
gene5274	slc30a5
gene10071	Xetrov90003500m.g
gene21689	pik3r1
gene17830	cd180
gene18892	mast4
gene27246	LOC108645631
gene20746	LOC100490018
gene16440	srek1
gene7842	erbb2ip
gene29582	LOC105947821
gene367	nln
gene31207	sgtb
gene27295	LOC105947813
gene6712	trappc13
gene8957	Xetrov90003513m.g
gene25379	trim23
gene3214	ppwd1
gene6624	cenpk
gene30571	adamts6
gene14355	Xetrov90003518m.g
gene10771	Xetrov90003518m.g
gene7098	cwc27
gene19532	srek1ip1
gene2502	fam159b
gene27480	rgs7bp
gene3974	rnf180
gene16360	htr1a
gene32103	ipo11
gene29353	lrrc70
gene12323	lrrc70
gene6182	dimt1
gene5955	kif2a
gene25775	LOC108645632
gene27545	zswim6
gene10742	Xetrov90003530m.g
gene1889	smim15
gene33373	ndufaf2
gene6388	hps5
gene1515	elovl7
gene13513	Xetrov90003536m.g
gene4887	depdc1b
gene28319	LOC108645695
gene23154	pde4d
gene17688	LOC100494000
gene8922	Xetrov90003539m.g
gene10643	Xetrov90003541m.g
gene30790	rab3c
gene6869	dazl
gene10427	Xetrov90003544m.g
gene10923	Xetrov90003545m.g
gene10129	Xetrov90003546m.g
gene24447	LOC100496633
gene2523	plk2
gene15611	Xetrov90003550m.g
gene32489	LOC101734517
gene12949	Xetrov90003552m.g
gene8575	Xetrov90003553m.g
gene21742	LOC108645633
gene7341	LOC101734477
gene14887	Xetrov90003555m.g
gene1059	LOC108645635
gene33550	LOC108645634
gene20638	LOC101730869
gene25747	LOC101730936
gene28364	LOC108645717
gene14274	Xetrov90003558m.g
gene9423	Xetrov90003559m.g
gene7806	gpbp1
gene24365	mier3
gene29209	setd9
gene29966	map3k1
gene20456	ankrd55
gene5485	il6st
gene11957	Xetrov90003567m.g
gene17956	ddx4
gene567	slc38a9
gene640	plpp1
gene20385	skiv2l2
gene33867	dhx29
gene5287	ccno
gene4617	mci-like
gene19115	cdc20b
gene16636	mir449c
gene21638	mir449b
gene26887	mir449a
gene3987	gpx8
gene17600	gzmak
gene3685	LOC100496550
gene6947	esm1
gene25947	gzma
gene33449	cspg4
gene6725	snx18
gene27002	hspb3
gene28711	arl15
gene7146	LOC105948004
gene9815	Xetrov90003591m.g
gene15136	Xetrov90003592m.g
gene6062	ndufs4
gene7542	fst
gene1646	mocs2-like
gene27341	mocs2
gene23450	itga2
gene18310	itga1
gene2299	isl1
gene20072	LOC101732780
gene30360	LOC101734495
gene26113	parp8
gene22318	emb
gene17159	hcn1
gene5328	mrps30
gene32314	fgf10
gene26133	nnt
gene2863	paip1
gene17000	ccl27
gene2883	c5orf28
gene6411	hmgcs1
gene19644	nim1k
gene24793	LOC105948028
gene29570	znf131
gene32322	sepp1
gene3032	ccdc152
gene14681	Xetrov90003617m.g
gene26686	ghr
gene7469	fbxo4
gene8374	oxct1
gene1206	plcxd3
gene16343	c6.1
gene29741	c6.2
gene32398	c7
gene8918	LOC100485032
gene21768	rpl37
gene6220	prkaa1
gene19194	ttc33
gene1111	ptger4
gene15117	Xetrov90003631m.g
gene10720	Xetrov90003632m.g
gene11208	Xetrov90003633m.g
gene29514	dab2
gene2533	c9
gene15614	LOC100485667
gene21306	LOC100485667
gene24690	LOC108645636
gene28542	LOC100488176
gene5066	ugt3a2
gene7571	LOC100488328
gene650	slc1a3
gene22438	LOC105945830
gene28717	ranbp3l
gene7493	nadk2
gene1447	skp2
gene33483	lmbrd2
gene19164	nipbl
gene32465	c5orf42
gene13039	Xetrov90003650m.g
gene10713	Xetrov90003651m.g
gene15113	Xetrov90003652m.g
gene7275	nup155-like.1
gene2865	wdr70
gene6367	gdnf
gene29891	egflam
gene8744	Xetrov90003657m.g
gene26970	lifr
gene11375	Xetrov90003659m.g
gene11697	Xetrov90003660m.g
gene2875	osmr
gene33187	rictor
gene32149	LOC108645637
gene32273	fyb
gene11873	Xetrov90003665m.g
gene19087	LOC108645696
gene1619	LOC108645638
gene21737	LOC101733095
gene29549	LOC100486506
gene16146	LOC108645639
gene15557	Xetrov90003667m.g
gene19272	LOC100497193
gene24469	LOC100497037
gene9535	LOC100497037-like
gene15321	Xetrov90003670m.g
gene17707	capsl
gene12555	il7r
gene13258	Xetrov90003673m.g
gene366	spef2
gene33298	LOC105948000
gene27951	prlr
gene22863	agxt2
gene31833	dnajc21
gene2067	rad1
gene22137	brix1
gene6046	ttc23l
gene30074	rai14
gene31471	c1qtnf3
gene2873	amacr
gene25837	slc45a2
gene29785	rxfp3
gene24510	adamts12
gene28972	tars
gene33537	LOC100485739
gene5744	LOC108645640
gene15721	LOC101730448
gene22425	LOC100493584
gene26387	LOC101732991
gene20935	LOC101730448
gene9042	Xetrov90003692m.g
gene31337	LOC100496120
gene26433	zfr
gene7720	sub1
gene15118	Xetrov90003697m.g
gene15793	npr3
gene10325	LOC100495808
gene9090	Xetrov90003700m.g
gene21212	LOC105946298
gene28969	LOC105947964
gene33737	mtmr12
gene2656	golph3
gene23618	pdzd2
gene24316	LOC100495168
gene13756	Xetrov90003704m.g
gene16596	LOC100494751
gene234	fut11
gene12524	Xetrov90003707m.g
gene15179	Xetrov90003708m.g
gene14607	Xetrov90003709m.g
gene33234	ccbe1
gene10948	Xetrov90003710m.g
gene13533	ccbe1
gene29641	lman1
gene23106	cplx4
gene6132	rax
gene33054	grp
gene26991	sec11c
gene20451	LOC101732251
gene27465	znf532
gene19591	malt1
gene31997	alpk2
gene18631	mir122
gene8606	Xetrov90003720m.g
gene14609	Xetrov90003720m.g
gene15097	Xetrov90003720m.g
gene13340	Xetrov90003721m.g
gene24966	nedd4l
gene3434	atp8b1
gene8407	nars
gene15941	fech
gene9451	Xetrov90003733m.g
gene22288	onecut2
gene26225	LOC108645641
gene29096	st8sia3
gene17352	wdr7
gene8125	txnl1
gene13188	Xetrov90003738m.g
gene27913	tcf4
gene8878	Xetrov90003740m.g
gene3016	ccdc68
gene19952	rab27b
gene15713	Xetrov90003745m.g
gene25224	LOC100485626
gene11548	Xetrov90003747m.g
gene5456	LOC100485773
gene13389	Xetrov90003749m.g
gene6151	c18orf54
gene5366	stard6
gene861	poli
gene345	mbd2
gene31665	dcc
gene12578	Xetrov90003756m.g
gene16113	LOC108645642
gene15689	Xetrov90003757m.g
gene20514	LOC105946296
gene28669	LOC108645718
gene7986	mex3c
gene13205	Xetrov90003759m.g
gene18398	LOC108645719
gene8612	LOC101731126
gene8423	tspan36
gene740	baat
gene31746	LOC100496940
gene19669	LOC100497260
gene26085	LOC100497423
gene27923	LOC100497738
gene9821	Xetrov90003768m.g
gene1169	LOC100497580
gene6392	LOC100488333
gene32710	mapk4
gene3658	ska1
gene15010	Xetrov90003773m.g
gene5145	me2
gene3279	elac1
gene1551	smad4.1
gene30065	lipg
gene32527	LOC100486224
gene9023	Xetrov90003778m.g
gene3851	myo5b
gene7892	ccdc11
gene31852	ctif
gene11316	Xetrov90003782m.g
gene16125	cox4i2
gene6514	smad7
gene28651	dym
gene1779	acaa2
gene8206	c18orf32
gene4173	rpl17
gene19598	zbtb7c
gene5635	smad2
gene10172	Xetrov90003795m.g
gene8708	Xetrov90003797m.g
gene14920	LOC100498355
gene27201	LOC108645697
gene18611	LOC100488414
gene16349	ier3ip1
gene7738	hdhd2
gene33177	katnal2
gene2620	pias2
gene775	eef2.2
gene31447	siglec15
gene26331	epg5
gene13799	pstpip2
gene853	atp5a1
gene29324	haus1
gene6501	fdx1l
gene5525	c18orf25
gene33040	LOC101733084
gene20858	rnf165
gene17875	loxhd1
gene13072	loxhd1
gene19545	LOC101730613
gene12981	Xetrov90003817m.g
gene23310	st8sia5
gene12788	Xetrov90003820m.g
gene10249	Xetrov90003819m.g
gene11256	Xetrov90003821m.g
gene8745	Xetrov90003821m.g
gene22667	slc14a2
gene8174	LOC108645720
gene25922	tpgs2
gene20734	kiaa1328
gene14238	kiaa1328
gene18210	celf4
gene12276	Xetrov90003830m.g
gene8376	nudt2
gene26748	LOC101734499
gene18726	LOC105946293
gene16145	kif24
gene23817	ubap1
gene11946	Xetrov90003836m.g
gene18694	dcaf12
gene3948	ubap2
gene28966	LOC105946291
gene3394	ube2r2
gene20999	nol6
gene4220	aqp3
gene31608	aqp7
gene31222	cd80
gene9857	Xetrov90003844m.g
gene23673	LOC100490685
gene24319	LOC101734230
gene30672	LOC105945660
gene25862	LOC100490640
gene10517	Xetrov90003847m.g
gene6916	LOC100491355
gene22701	LOC100491521
gene9347	Xetrov90003849m.g
gene17365	LOC108645741
gene13936	Xetrov90003850m.g
gene32969	LOC101734042
gene27895	u2af1
gene29364	c21orf33
gene24089	LOC101732704
gene32951	ptgfrn
gene7545	ccdc58
gene13816	Xetrov90003857m.g
gene14603	LOC101734653-like
gene11717	LOC101734653-like
gene12407	Xetrov90003859m.g
gene24772	LOC105946733
gene9711	Xetrov90003859m.g
gene19435	LOC100493950
gene3623	LOC101734526
gene7273	spice1
gene2839	zdhhc23
gene17416	ccdc191
gene11369	Xetrov90003871m.g
gene16149	qtrtd1
gene21450	tigit
gene1772	zbtb20
gene15530	Xetrov90003874m.g
gene12655	Xetrov90003875m.g
gene10119	Xetrov90003876m.g
gene14428	Xetrov90003877m.g
gene11716	Xetrov90003878m.g
gene12825	Xetrov90003879m.g
gene17019	LOC108645742
gene23763	LOC108645743
gene13237	Xetrov90003880m.g
gene27882	gap43
gene33944	lsamp
gene13316	Xetrov90003883m.g
gene4206	mael
gene15922	gpa33
gene22226	dusp27
gene1071	pou2f1
gene15003	Xetrov90003890m.g
gene7508	cd247
gene5838	creg1
gene17125	rcsd1
gene23688	trnap-cgg
gene25115	trnap-agg
gene31593	trnap-agg
gene34144	mpzl1
gene21076	tmem39a
gene9260	Xetrov90003897m.g
gene23689	b4galt4
gene27776	b4galt3
gene8162	b3gat1
gene33702	arhgap31
gene2249	upk1b
gene30984	c2h3orf30
gene10105	Xetrov90003906m.g
gene32466	igsf11
gene11977	Xetrov90003908m.g
gene8607	Xetrov90003909m.g
gene22479	LOC108645744
gene11033	LOC101730742
gene10675	LOC101730742
gene24579	LOC101731972
gene29071	LOC105946696
gene12414	Xetrov90003912m.g
gene30761	LOC108645831
gene11147	Xetrov90003915m.g
gene16259	LOC101731855
gene15715	Xetrov90003918m.g
gene14262	Xetrov90003918m.g
gene34007	LOC101731740
gene23999	LOC101732729
gene4396	LOC100127716
gene7706	cd200r1
gene25225	LOC100486350
gene21232	LOC100486498
gene2870	pvrl1-like.1
gene353	LOC100485504
gene2584	LOC105946640
gene30259	LOC100145297
gene32917	LOC100485791
gene10587	LOC101734923
gene22521	ildr1
gene29977	ildr2
gene12047	ildr2
gene16731	pdzk1
gene4853	gpr89b
gene24124	gtpbp8
gene6686	LOC100489930
gene33345	LOC105948416
gene30017	gja8
gene26051	LOC105948531
gene11143	Xetrov90003942m.g
gene13037	Xetrov90003943m.g
gene23674	gja5
gene5965	acp6
gene31962	bcl9
gene10224	Xetrov90003947m.g
gene9201	Xetrov90003948m.g
gene14808	LOC101731031
gene28147	tmprss3
gene24957	tff1
gene16266	LOC101733589
gene30146	LOC100489069
gene1985	LOC100488906
gene10950	Xetrov90003953m.g
gene9938	Xetrov90003954m.g
gene8540	Xetrov90003955m.g
gene14960	LOC100488688
gene10756	LOC100488424-like
gene21887	LOC100135388
gene17649	LOC108645832
gene9751	LOC100496653
gene16141	tff2
gene18823	abcg1
gene10324	Xetrov90003962m.g
gene23822	LOC108645833
gene31098	LOC108645745
gene12883	Xetrov90003963m.g
gene27138	umodl1
gene1084	zbtb21
gene5587	c2cd2
gene30560	prdm15
gene14975	Xetrov90003971m.g
gene3952	ripk4
gene9962	Xetrov90003973m.g
gene23006	LOC101731874
gene14205	Xetrov90003975m.g
gene2503	LOC100493729
gene12226	LOC101732640
gene13679	Xetrov90003978m.g
gene16478	LOC100494624
gene30849	LOC105946686
gene27032	LOC108645746
gene27607	LOC100494862
gene23585	LOC100494702
gene22454	LOC101731564
gene12923	Xetrov90003982m.g
gene10314	LOC101732415
gene26360	LOC100494550
gene18993	LOC100497514
gene2237	tmprss2
gene29601	LOC101731505
gene22341	LOC101732233
gene24885	trnad-guc
gene28819	trnav-aac
gene33069	trnad-guc
gene18576	trnai-aau
gene34116	trnai-aau
gene19570	trnad-guc
gene23636	trnai-aau
gene27791	trnad-guc
gene31566	trnai-aau
gene20377	trnad-guc
gene18864	trnai-aau
gene22783	trnad-guc
gene27725	trnai-aau
gene33314	trnad-guc
gene33565	trnai-aau
gene16759	trnad-guc
gene20366	trnai-aau
gene27344	trnad-guc
gene22923	trnai-aau
gene32580	trnad-guc
gene29636	trnai-aau
gene28458	trnad-guc
gene23397	trnai-aau
gene20148	trnad-guc
gene33573	trnai-aau
gene25878	trnad-guc
gene20676	trnai-aau
gene17599	trnad-guc
gene30932	trnai-aau
gene29630	trnad-guc
gene24400	trnai-aau
gene19400	trnad-guc
gene25728	trnad-guc
gene21425	trnai-aau
gene16076	trnad-guc
gene31236	trnai-aau
gene28383	trnad-guc
gene22860	trnai-aau
gene20314	trnad-guc
gene21454	trnai-aau
gene25343	trnad-guc
gene19567	trnai-aau
gene23574	trnad-guc
gene27575	trnad-guc
gene31485	trnai-aau
gene18699	trnad-guc
gene21736	trnai-aau
gene26999	trnad-guc
gene30024	trnai-aau
gene24707	trnad-guc
gene27515	trnai-aau
gene32060	trnad-guc
gene18711	trnai-aau
gene26705	trnad-guc
gene31841	trnai-aau
gene17965	trnad-guc
gene20696	trnai-aau
gene28798	trnad-guc
gene33843	trnai-aau
gene17425	trnad-guc
gene31500	trnai-aau
gene30992	trnad-guc
gene17779	trnai-aau
gene20412	trnad-guc
gene25754	trnad-guc
gene33613	trnai-aau
gene15812	trnad-guc
gene23140	trnai-aau
gene28434	trnad-guc
gene25207	trnai-aau
gene21115	trnad-guc
gene24539	trnad-guc
gene29805	trnai-aau
gene32579	trnad-guc
gene29101	trnai-aau
gene22344	trnad-guc
gene18179	trnai-aau
gene31164	trnad-guc
gene27074	trnai-aau
gene19551	trnad-guc
gene30435	trnai-aau
gene25273	trnad-guc
gene22260	trnai-aau
gene17095	trnad-guc
gene20265	trnai-aau
gene24459	trnad-guc
gene28314	trnai-aau
gene32374	trnad-guc
gene17627	trnad-guc
gene19035	trnai-aau
gene32372	trnad-guc
gene26314	trnai-aau
gene23351	trnad-guc
gene18539	trnai-aau
gene34057	trnai-aau
gene28877	trnad-guc
gene26398	trnai-aau
gene21119	trnad-guc
gene18176	trnai-aau
gene25542	trnad-guc
gene23297	trnai-aau
gene19142	trnad-guc
gene33507	trnai-aau
gene29428	trnad-guc
gene16689	trnai-aau
gene33342	trnad-guc
gene26968	trnai-aau
gene20361	LOC108645834
gene30909	LOC101732176
gene15094	mx2
gene20692	mx1
gene11271	Xetrov90003991m.g
gene12231	Xetrov90003991m.g
gene5813	fam3b
gene16545	bace2
gene23214	dscam
gene15026	Xetrov90003995m.g
gene7139	igsf5
gene8981	Xetrov90003997m.g
gene31141	LOC100493833
gene23741	b3galt5
gene22355	LOC100494986
gene27211	LOC108645747
gene3865	LOC100493669
gene14639	Xetrov90004002m.g
gene33639	LOC100494668
gene32518	LOC100494507
gene734	sh3bgr
gene2887	wrb
gene30471	hmgn1
gene24525	LOC108645748
gene19515	brwd1
gene7466	psmg1
gene6534	ets2
gene7326	erg
gene14840	Xetrov90004015m.g
gene9274	Xetrov90004017m.g
gene33976	kcnj15
gene33996	dyrk1a
gene28897	dscr3
gene23750	ttc3
gene14649	Xetrov90004024m.g
gene5948	pigp
gene8364	dscr6
gene13225	Xetrov90004028m.g
gene21241	hlcs
gene15275	Xetrov90004030m.g
gene15965	sim2
gene28862	cldn14
gene6480	chaf1b
gene28936	morc3
gene28384	LOC105945150
gene10478	Xetrov90004036m.g
gene23258	LOC108645835
gene12463	LOC100490683
gene12591	Xetrov90004038m.g
gene18338	LOC100490513
gene26783	LOC101730243
gene7402	LOC108645749
gene8625	Xetrov90004044m.g
gene3561	dopey2
gene16240	cbr1
gene3330	LOC101735101
gene4555	cbr3
gene28031	setd4
gene27361	runx1
gene3257	gart
gene15459	Xetrov90004052m.g
gene499	patl2
gene28904	son
gene5434	donson
gene23601	LOC108645750
gene28008	cryzl1
gene30925	itsn1
gene1853	atp5o
gene14556	LOC100486197-like
gene27197	smim11a
gene9689	Xetrov90004061m.g
gene22961	mrps6
gene1167	LOC105946608
gene33103	kcne1
gene29183	LOC105946607
gene16928	LOC108645751
gene31443	rcan1
gene14358	rcan1
gene27235	clic6
gene23319	LOC105946606
gene19028	LOC100485140
gene28997	dnajc28
gene5562	tmem50b
gene15797	ifnar1
gene22346	ifngr2.2
gene6428	ifngr2.1
gene31529	il10rb
gene17199	ifnar2.1
gene19569	ifnar2.2
gene23814	olig1
gene10641	Xetrov90004077m.g
gene25570	olig2
gene5684	c21orf62
gene1227	paxbp1
gene24278	synj1
gene13240	Xetrov90004084m.g
gene2007	c21orf59
gene32411	LOC100487361
gene25787	eva1c
gene20639	LOC101731873
gene1919	urb1
gene3306	mrap
gene2663	mis18a
gene6554	hunk
gene18826	scaf4
gene5763	sod1
gene7801	tiam1
gene17302	cldn8.1
gene24803	LOC100485738
gene28886	LOC100485589
gene873	cldn8.1
gene18614	LOC100487058
gene10763	LOC101730658
gene22790	LOC100486904
gene33943	grik1
gene31554	LOC105946610
gene17185	bach1
gene21047	map3k7cl
gene1911	cct8
gene30509	usp16
gene1709	rwdd2b
gene2101	tmem97
gene5022	ltn1
gene15331	Xetrov90004118m.g
gene11501	Xetrov90004119m.g
gene12505	Xetrov90004120m.g
gene11043	LOC100487503
gene15682	Xetrov90004122m.g
gene32980	LOC100487999
gene9032	Xetrov90004123m.g
gene28954	LOC105946681
gene32906	adamts5
gene167	adamts1
gene11649	Xetrov90004126m.g
gene4042	cyyr1
gene1678	app
gene12004	Xetrov90004129m.g
gene31366	LOC105946680
gene17127	gabpa
gene19680	atp5j
gene25193	jam2
gene2962	mrpl39
gene32526	mir155
gene4929	LOC101733149
gene22141	LOC108645752
gene16695	ncam2
gene9344	Xetrov90004137m.g
gene30559	tmprss15
gene11815	Xetrov90004138m.g
gene6259	chodl
gene19941	c21orf91
gene10144	Xetrov90004143m.g
gene3953	cpox
gene27285	LOC108645836
gene14936	gabrr3
gene22031	gabrr3
gene3340	mina
gene28652	crybg3
gene15358	Xetrov90004148m.g
gene1933	arl6
gene12032	LOC100493258
gene15897	epha6
gene21718	LOC108645837
gene26523	nsun3
gene1316	arl13b
gene6701	stx19
gene28994	pros1
gene15284	LOC101734040
gene34201	epha3
gene14766	Xetrov90004162m.g
gene15932	c3orf38
gene7625	znf654
gene26217	htr1f
gene13650	LOC100492923
gene22472	pou1f1
gene4166	chmp2b
gene8245	vgll3
gene28953	cadm2
gene452	LOC108645753
gene31150	LOC105946600
gene2994	gbe1
gene26476	robo1
gene13195	Xetrov90004177m.g
gene22385	LOC105946601
gene32963	robo2
gene28856	LOC108645853
gene25566	LOC101733853
gene21564	LOC108645754
gene17248	LOC100493583
gene6781	rbm11
gene35	LOC100493429
gene23077	liph
gene584	hspa13
gene32763	samsn1
gene5643	LOC108645755
gene15230	Xetrov90004191m.g
gene14006	Xetrov90004192m.g
gene10035	Xetrov90004193m.g
gene8788	Xetrov90004194m.g
gene8714	Xetrov90004195m.g
gene3913	nrip1
gene31692	LOC108645854
gene9832	Xetrov90004197m.g
gene1842	usp25
gene18766	mir99
gene22808	mirlet7c
gene998	mir125b-2
gene8576	Xetrov90004201m.g
gene9096	Xetrov90004202m.g
gene18103	LOC100492906
gene17496	LOC105946673
gene8214	cxadr
gene15644	Xetrov90004205m.g
gene9652	Xetrov90004206m.g
gene3579	btg3
gene23523	LOC105946599
gene8429	LOC105946598
gene15921	LOC108645756
gene8058	st3gal6
gene4765	col8a1
gene10963	Xetrov90004211m.g
gene33047	LOC101731797
gene1190	dcbld2
gene8440	LOC100493567
gene24799	LOC105946638
gene21594	LOC100493728
gene25884	LOC108645848
gene31438	LOC100496364
gene16940	LOC101732601
gene24294	LOC101732697
gene13736	Xetrov90004217m.g
gene28507	coro6
gene5355	blmh
gene29917	slc6a4
gene22598	nsrp1
gene6522	efcab5
gene1617	ssh2
gene4852	tmigd1
gene16912	cpd
gene1423	gosr1
gene27161	tusc5
gene31235	bhlha9
gene18974	LOC100495598
gene15677	LOC100497024
gene22772	LOC100497024
gene10030	LOC100496858
gene12565	LOC100496858
gene22857	abr
gene19947	LOC101730502
gene10880	Xetrov90004237m.g
gene11251	Xetrov90004237m.g
gene8931	Xetrov90004237m.g
gene13162	Xetrov90004237m.g
gene17154	LOC101735076
gene28247	LOC108645849
gene27071	ankrd13b
gene21957	git1
gene15627	Xetrov90004241m.g
gene16916	LOC101730287
gene30319	LOC101731396
gene4840	tp53i13
gene22844	abhd15
gene12628	Xetrov90004244m.g
gene3282	taok1
gene31149	slc39a3
gene42	nufip2
gene13354	Xetrov90004248m.g
gene15477	Xetrov90004249m.g
gene398	cryba1
gene7799	LOC100491786
gene6369	LOC100492388
gene2358	LOC100038306
gene18074	myo18a
gene19230	myo18a
gene26232	LOC101730406
gene30874	pipox
gene9248	Xetrov90004256m.g
gene17747	LOC101730464
gene18379	sez6
gene11054	Xetrov90004261m.g
gene23691	LOC101731796
gene29471	phf12
gene7284	dhrs13
gene12984	Xetrov90004264m.g
gene16909	LOC105946518
gene11945	Xetrov90004265m.g
gene7380	LOC108645838
gene3066	flot2
gene20558	mir144
gene17084	mir451
gene31601	fam222b
gene3298	traf4
gene27643	nek8
gene1056	timm22
gene9026	Xetrov90004274m.g
gene20222	rab34
gene9894	Xetrov90004276m.g
gene5781	LOC100145149
gene4932	proca1
gene32680	supt6h
gene5257	sdf2
gene17911	kiaa0100
gene14800	Xetrov90004282m.g
gene20520	sgk494
gene23766	spag5
gene7340	LOC101733641
gene9930	Xetrov90004285m.g
gene1050	aldoc
gene34107	pigs
gene16446	unc119
gene23988	foxn1
gene31126	LOC733551
gene6093	slc13a2
gene9926	Xetrov90004295m.g
gene8995	Xetrov90004296m.g
gene2893	slc46a1
gene27667	sarm1
gene1538	vtn
gene3070	sebox
gene5817	tmem199
gene5725	poldip2
gene4467	tsr1
gene5042	srr
gene19324	smg6
gene24621	hic1
gene21408	mir212
gene16060	mir132
gene31905	mir2184
gene5863	ovca2
gene2010	dph1
gene1093	rtn4rl1
gene6550	rpa1
gene2459	smyd4
gene1934	serpinf1
gene6400	serpinf2
gene30395	wdr81
gene6169	LOC105946500
gene8860	Xetrov90004318m.g
gene22270	anos1
gene5487	pnpla4
gene32978	sts
gene9037	Xetrov90004324m.g
gene19565	pudp
gene14403	Xetrov90004327m.g
gene24916	nlgn4x
gene31111	LOC108645757
gene17921	LOC108644504
gene10164	Xetrov90004330m.g
gene22379	LOC105945871
gene21174	LOC105946693
gene16045	tmem45a
gene43	lnp1
gene1705	tomm70a
gene3801	hist1h2aa
gene18795	nit2
gene3137	hist1h2am
gene1304	tbc1d23
gene13764	Xetrov90004340m.g
gene12313	Xetrov90004340m.g
gene1357	cmss1
gene3078	filip1l
gene10945	Xetrov90004342m.g
gene22334	tmem30c
gene16996	LOC100494768
gene4060	zp4.2
gene11151	Xetrov90004347m.g
gene15127	LOC100497907
gene33066	LOC108645758
gene8919	Xetrov90004349m.g
gene27812	LOC100497907
gene24078	LOC100494069
gene19650	LOC108645759
gene22193	LOC100494616
gene16995	LOC108645760
gene32993	LOC105946631
gene24585	LOC108645761
gene14519	LOC101733853
gene18352	LOC108644469
gene32722	specc1
gene15151	Xetrov90004354m.g
gene22397	adora2b
gene18512	zswim7
gene6129	LOC105946516
gene26615	LOC100495431
gene14973	Xetrov90004358m.g
gene25495	ncor1
gene20438	pigl
gene6241	cenpv
gene7127	LOC100485835
gene17479	LOC101734873
gene7936	trpv1-like.1
gene21341	itgae
gene6187	tbl2
gene4574	bcl7b
gene25873	LOC105945138
gene29195	p2rx5
gene4194	emc6
gene1108	tax1bp3
gene15282	Xetrov90004383m.g
gene6732	ctns
gene6158	shpk
gene28918	trpv1
gene7116	trpv3
gene19822	aspa
gene20556	spata22
gene16830	LOC100486901
gene21699	akap10
gene27073	LOC101734962
gene1564	ctps2
gene3584	LOC108645850
gene33457	grpr
gene28304	ap1s2
gene5210	zrsr2
gene136	tmem27
gene17638	LOC108645851
gene23966	ace2
gene12327	Xetrov90004404m.g
gene16790	ttc19
gene32469	pir
gene29395	figf
gene5750	piga
gene26334	asb11
gene6934	LOC101735019
gene4672	asb9
gene13987	Xetrov90004412m.g
gene4294	mospd2
gene17722	fancb
gene23130	LOC108645852
gene9799	Xetrov90004415m.g
gene28173	LOC105946655
gene33636	LOC105946510
gene20169	LOC105946511
gene32142	LOC105946508
gene19657	LOC105946509
gene32965	LOC105946507
gene18389	glra2
gene8984	Xetrov90004417m.g
gene21572	LOC100494013
gene25851	LOC105946630
gene30644	LOC105946628
gene3406	LOC101731231
gene9018	LOC100494013
gene29420	LOC105946629
gene33589	LOC105946627
gene34197	prkx
gene18649	mxra5
gene26196	arsh
gene7041	gyg2
gene6180	LOC100494719
gene20686	LOC105945140
gene16253	zbed1
gene21517	dhrsx
gene3517	asmt
gene33724	akap17a
gene27242	LOC100489510
gene22104	p2ry8
gene17472	LOC105946531
gene4289	asmtl
gene11135	Xetrov90004440m.g
gene25414	LOC101731623
gene19956	LOC101731565
gene24700	LOC101732217
gene8709	Xetrov90004445m.g
gene19535	nr0b1
gene32592	il1rapl1
gene27225	LOC108645839
gene13309	Xetrov90004448m.g
gene1383	arx
gene30907	pola1
gene16066	pcyt1b
gene7994	pdk3
gene8288	slc51a-like.1
gene21423	LOC100486322
gene19241	cdkl5
gene14141	Xetrov90004459m.g
gene8617	Xetrov90004460m.g
gene9441	Xetrov90004461m.g
gene13738	Xetrov90004462m.g
gene4544	tekt1
gene8045	prdx4
gene23363	rs1
gene6956	pom121
gene13384	LOC101732392
gene30310	stx1a
gene30543	wbscr22
gene1855	dnajc30
gene8761	Xetrov90004472m.g
gene22659	vps37d
gene10330	chd5-like.1
gene25611	mlxipl
gene2918	mks1
gene12622	Xetrov90004477m.g
gene32660	fzd9
gene19431	fkbp6
gene3535	baz1b
gene18342	nsun5
gene26576	LOC100487773
gene21538	LOC100485772
gene16216	sept4
gene2979	LOC100485482
gene8770	Xetrov90004488m.g
gene41	limk1
gene11648	Xetrov90004492m.g
gene33675	eln1
gene11057	Xetrov90004494m.g
gene15601	Xetrov90004495m.g
gene12034	Xetrov90004496m.g
gene10541	Xetrov90004497m.g
gene124	wbscr27
gene7488	cldn4
gene3707	cldn3
gene32952	abhd11
gene2959	casp1
gene22487	mtmr4
gene1296	card18
gene1019	hpd-like.2
gene1117	hsf5
gene28050	rnf43
gene1559	supt4h1
gene17340	bzrap1
gene7907	mpo
gene28910	gdpd1
gene3928	zfx
gene2977	eif2s3
gene15796	acot9
gene2029	arsd
gene26369	LOC105946502
gene1487	sat1
gene18495	apoo
gene34084	cxorf58
gene29100	klhl15
gene24948	pdha1
gene27753	map3k5
gene27696	sh3kbp1
gene10986	Xetrov90004527m.g
gene10577	Xetrov90004529m.g
gene2387	LOC105946709
gene3651	LOC105946503
gene22251	cxorf23
gene818	map7d2
gene3115	eif1ax
gene19813	nagpa
gene7123	crk
gene7997	ywhae
gene29978	LOC100485552
gene27331	LOC108645762
gene3628	myo1c
gene23885	inpp5k
gene4636	pitpna
gene31765	slc43a2
gene26328	LOC108645763
gene20990	scarf1
gene15891	rilp
gene14142	Xetrov90004550m.g
gene2579	LOC101734833
gene2160	LOC100497432
gene5017	prpf8
gene22259	LOC108645764
gene6702	tlcd2
gene30456	LOC100497109
